lon,lat,presence
120.74883,16.57862,1
120.74874,16.57887,1
120.7469,16.57601,1
120.74492,16.57728,1
120.7448,16.57733,1
120.6929,16.522,1
120.69268,16.52236,1
120.69216,16.52233,1
120.69211,16.52231,1
120.69201,16.52226,1
120.69215,16.52136,1
120.68821,16.5216,1
120.68711,16.52183,1
120.68616,16.5224,1
120.686,16.52258,1
120.68572,16.52282,1
120.68581,16.5228,1
120.68606,16.52286,1
120.6853,16.52239,1
120.68526,16.52253,1
120.6842,16.52314,1
120.68418,16.52345,1
120.70639,16.62856,1
120.70589,16.62869,1
120.70524,16.62829,1
120.70507,16.62825,1
120.70506,16.6281,1
120.70669,16.62762,1
120.7067,16.6276,1
120.70698,16.62748,1
120.69392,16.59594,1
120.69049,16.59504,1
120.69045,16.59554,1
120.69026,16.59597,1
120.68557,16.58177,1
120.6856,16.58174,1
120.67843,16.57772,1
120.67641,16.57991,1
120.67604,16.58034,1
120.67611,16.58148,1
120.67611,16.58158,1
120.676,16.58169,1
120.67547,16.58182,1
120.67479,16.58269,1
120.6751,16.58298,1
120.69885,16.55792,1
120.69898,16.55802,1
120.69914,16.55823,1
120.66312,16.79044,1
120.66362,16.78997,1
120.66473,16.79299,1
120.66903,16.75733,1
120.66898,16.7574,1
120.66268,16.78866,1
120.66415,16.79171,1
120.66448,16.79354,1
120.72982,16.7727,1
120.73429,16.76852,1
120.73424,16.76852,1
120.73264,16.76932,1
120.73275,16.76857,1
120.73228,16.76972,1
120.73173,16.77248,1
120.73177,16.77266,1
120.73187,16.77315,1
120.73223,16.77369,1
120.72712,16.77731,1
120.72854,16.77691,1
120.7286,16.7768,1
120.66095,16.7933,1
120.73273,16.76904,1
120.73406,16.76741,1
120.73235,16.76985,1
120.73168,16.77255,1
120.72772,16.77725,1
120.82168,16.51899,1
120.82132,16.51946,1
120.82148,16.52031,1
120.82165,16.52029,1
120.82329,16.52133,1
120.82326,16.52136,1
120.82309,16.52118,1
120.8448,16.513,1
120.8207,16.51636,1
120.81977,16.51826,1
120.8293,16.54977,1
120.82928,16.54985,1
120.82911,16.54994,1
120.82933,16.54901,1
120.82852,16.54927,1
120.83204,16.54527,1
120.83084,16.5455,1
120.83028,16.5484,1
120.8304,16.54834,1
120.83056,16.54805,1
120.83199,16.54532,1
120.8326,16.54353,1
120.76472,16.4269,1
120.76829,16.42729,1
120.76877,16.42455,1
120.76876,16.4242,1
120.80967,16.43909,1
120.81426,16.44009,1
120.84642,16.51245,1
120.84645,16.51249,1
120.84648,16.51238,1
120.84498,16.51285,1
120.84479,16.51285,1
120.84457,16.51287,1
120.8445,16.51293,1
120.83405,16.79095,1
120.83382,16.79256,1
120.83514,16.78197,1
120.83524,16.78184,1
120.83486,16.77801,1
120.83484,16.77794,1
120.83191,16.77566,1
120.83677,16.75975,1
120.83665,16.75928,1
120.83713,16.7569,1
120.85173,16.76788,1
120.8518,16.7679,1
120.84956,16.76899,1
120.84972,16.76902,1
120.84978,16.76904,1
120.84975,16.76901,1
120.82671,16.80854,1
120.82771,16.81135,1
120.82763,16.81135,1
120.83552,16.8104,1
120.83617,16.80986,1
120.8372,16.80758,1
120.82648,16.80818,1
120.82767,16.81123,1
120.82915,16.81406,1
120.8355,16.81043,1
120.83592,16.80754,1
120.83594,16.80758,1
120.67768,16.36127,1
120.71888,16.32012,1
120.65502,16.36319,1
120.66983,16.36806,1
120.8392,16.61097,1
120.84005,16.60983,1
120.83504,16.58479,1
120.83918,16.61378,1
120.63134,16.60527,1
120.63001,16.60742,1
120.628,16.60423,1
120.62489,16.63711,1
120.62458,16.63671,1
120.62422,16.63672,1
120.62508,16.63727,1
120.62503,16.63725,1
120.62523,16.63712,1
120.62534,16.63691,1
120.58169,16.57897,1
120.5822,16.57908,1
120.65441,16.69438,1
120.65478,16.69519,1
120.65493,16.69583,1
120.65526,16.69617,1
120.65543,16.69606,1
120.65603,16.69611,1
120.65746,16.69648,1
120.65986,16.69662,1
120.65868,16.6978,1
120.65853,16.69783,1
120.65814,16.6979,1
120.65843,16.69794,1
120.64848,16.66681,1
120.65834,16.6861,1
120.659,16.68979,1
120.65563,16.69223,1
120.65548,16.69229,1
120.65572,16.6964,1
120.65609,16.69579,1
120.65601,16.6958,1
120.65742,16.69666,1
120.6574,16.69674,1
120.65804,16.69788,1
120.64834,16.66751,1
120.65084,16.66553,1
120.65401,16.67019,1
120.65869,16.68622,1
120.6588,16.68636,1
120.65774,16.69198,1
120.66829,16.75724,1
120.68365,16.75306,1
120.69418,16.75201,1
120.5790083,16.46288889,1
120.5779861,16.46448056,1
120.5785861,16.46566667,1
120.5820611,16.46490556,1
120.5829556,16.46423056,1
120.5839583,16.46475,1
120.5867028,16.46375833,1
120.5859333,16.46269444,1
120.5924528,16.46697778,1
120.5916722,16.46428611,1
120.5876417,16.46481389,1
120.5755639,16.457475,1
120.5765528,16.45867778,1
120.5977111,16.46929722,1
120.5954028,16.47018333,1
120.5972167,16.46822222,1
120.5956889,16.47155833,1
120.5958278,16.47208056,1
120.5957361,16.47205278,1
120.5957889,16.47204167,1
120.5958167,16.47201944,1
120.5956694,16.47197222,1
120.5992444,16.47043056,1
120.5985472,16.47009722,1
120.5917833,16.47080556,1
120.5990722,16.47471944,1
120.5978139,16.47385556,1
120.5968861,16.47324167,1
120.5968833,16.47319167,1
120.5941417,16.46935278,1
120.598575,16.47009444,1
120.5985611,16.47011111,1
120.5929,16.46911944,1
120.5913306,16.46904722,1
120.5909778,16.46913611,1
120.5911111,16.46884444,1
120.5989472,16.47180556,1
120.5916556,16.46433333,1
120.5990722,16.48352222,1
120.5789194,16.50290556,1
120.6004889,16.477325,1
120.60015,16.47749167,1
120.598175,16.48043056,1
120.5991833,16.48213889,1
120.5990389,16.48230556,1
120.6152,16.43223056,1
120.60905,16.43865556,1
120.6088833,16.43885556,1
120.591975,16.45311667,1
120.5917056,16.45396667,1
120.6287278,16.46777778,1
120.6283944,16.46798056,1
120.6291694,16.46768333,1
120.6270417,16.46933611,1
120.626025,16.47018889,1
120.6272167,16.46963611,1
120.6265361,16.46718889,1
120.6258667,16.46627778,1
120.6246028,16.46484167,1
120.6244056,16.46444167,1
120.6245389,16.46204444,1
120.6266861,16.46065278,1
120.6284028,16.45499722,1
120.6285222,16.45495833,1
120.6285194,16.45475278,1
120.6286944,16.45455556,1
120.6276389,16.45514722,1
120.6263333,16.45548611,1
120.6250778,16.45694722,1
120.6259028,16.45740833,1
120.6271278,16.45765,1
120.6271972,16.45760278,1
120.6271194,16.45774167,1
120.628,16.45838611,1
120.6279806,16.45841944,1
120.6280861,16.45883333,1
120.6289083,16.45972222,1
120.6284944,16.45956667,1
120.6284028,16.45962222,1
120.6280833,16.459675,1
120.6280694,16.45958611,1
120.6280306,16.45949444,1
120.6280167,16.45987222,1
120.6297611,16.46936944,1
120.6306361,16.46890278,1
120.5759722,16.44557778,1
120.5758111,16.44579444,1
120.5761361,16.44562222,1
120.5761167,16.44561667,1
120.5761611,16.44561667,1
120.5761667,16.44561111,1
120.5761611,16.445625,1
120.5758611,16.44549444,1
120.5763056,16.445625,1
120.5764639,16.44558889,1
120.5766222,16.44548056,1
120.5766417,16.44547222,1
120.5767278,16.44549444,1
120.5783333,16.4463,1
120.5793972,16.44506111,1
120.5740028,16.44501944,1
120.5740028,16.44501944,1
120.5736917,16.44503889,1
120.5758778,16.44554722,1
120.5732306,16.44460278,1
120.5731806,16.44458889,1
120.5724528,16.44425,1
120.5725167,16.44420278,1
120.5725167,16.44420278,1
120.5725,16.44416667,1
120.5725389,16.44403889,1
120.5759139,16.445525,1
120.5759139,16.445525,1
120.5759556,16.44556111,1
120.5759611,16.44554167,1
120.5760056,16.44560833,1
120.5760028,16.44559722,1
120.6007333,16.46616944,1
120.5916694,16.46430833,1
120.5914917,16.46426944,1
120.5824306,16.44264444,1
120.5722417,16.46068333,1
120.5691583,16.45365278,1
120.5691306,16.45361111,1
120.5692028,16.45362222,1
120.5691306,16.45358333,1
120.5691944,16.45354167,1
120.5691944,16.45354167,1
120.5692472,16.45359722,1
120.5692972,16.45352778,1
120.5693028,16.45338889,1
120.5693028,16.45338889,1
120.5693028,16.45338889,1
120.5692111,16.45343889,1
120.5691806,16.453375,1
120.5692028,16.45335,1
120.5692278,16.45331944,1
120.5692917,16.453275,1
120.5692028,16.45331111,1
120.5692361,16.45328611,1
120.5692806,16.45322778,1
120.5692806,16.45322778,1
120.5692583,16.4532,1
120.5693389,16.45317222,1
120.5694083,16.45401111,1
120.5700972,16.45284722,1
120.5703194,16.45172778,1
120.5713194,16.46125833,1
120.5715528,16.46158056,1
120.5722417,16.46068333,1
120.5693861,16.45398056,1
120.5722694,16.46072222,1
120.5721556,16.46061111,1
120.5720806,16.46028056,1
120.572075,16.46042778,1
120.5711583,16.45986944,1
120.5712306,16.45321944,1
120.6019444,16.44831111,1
120.6020194,16.44555,1
120.6020139,16.44558333,1
120.601525,16.44596667,1
120.6020778,16.44591389,1
120.6020111,16.44826944,1
120.6020444,16.44823333,1
120.6017722,16.44681389,1
120.6017917,16.44673889,1
120.6020222,16.44596111,1
120.6022056,16.44601667,1
120.6219889,16.43121667,1
120.79637,16.85547,1
120.79614,16.85559,1
120.79566,16.8554,1
120.79578,16.85507,1
120.79535,16.8538,1
120.79527,16.8534,1
120.77659,16.89348,1
120.77911,16.89139,1
120.82245,16.81581,1
120.82263,16.81583,1
120.823,16.81555,1
120.8226,16.81589,1
120.82298,16.81559,1
120.82248,16.81192,1
120.82261,16.81588,1
120.82257,16.81646,1
120.75519,16.90703,1
120.48595,16.50312,1
120.48598,16.50501,1
120.48302,16.50771,1
120.48303,16.50777,1
120.48285,16.50379,1
120.51678,16.47879,1
120.51553,16.48045,1
120.51121,16.49086,1
120.51349,16.4982,1
120.51442,16.49816,1
120.51442,16.50466,1
120.51552,16.50596,1
120.50576,16.50215,1
120.50485,16.50256,1
120.50469,16.50272,1
120.50449,16.50296,1
120.50452,16.50333,1
120.50444,16.50335,1
120.49872,16.50777,1
120.49354,16.50891,1
120.48892,16.51413,1
120.48832,16.51407,1
120.48962,16.5156,1
120.48984,16.51577,1
120.49299,16.50634,1
120.52603,16.45864,1
120.52638,16.4589,1
120.52576,16.45785,1
120.51153,16.4755,1
120.50309,16.48287,1
120.50073,16.37329,1
120.50194,16.37224,1
120.50221,16.37299,1
120.50267,16.37317,1
120.50376,16.37689,1
120.6749,16.49842,1
120.67417,16.49729,1
120.67478,16.49713,1
120.67672,16.49593,1
120.66214,16.47053,1
120.65143,16.48964,1
120.65135,16.4896,1
120.65001,16.4882,1
120.64924,16.48939,1
120.64935,16.48933,1
120.64753,16.49004,1
120.64605,16.48916,1
120.64608,16.4885,1
120.64599,16.48842,1
120.64596,16.48831,1
120.64599,16.48824,1
120.64572,16.48804,1
120.64539,16.48807,1
120.64463,16.48906,1
120.63601,16.48034,1
120.63603,16.48016,1
120.63639,16.4796,1
120.636,16.48489,1
120.63518,16.50816,1
120.63459,16.51023,1
120.63479,16.51092,1
120.6342,16.51209,1
120.6355,16.51346,1
120.63497,16.51346,1
120.63598,16.51371,1
120.63645,16.51304,1
120.64126,16.50087,1
120.6414,16.50101,1
120.64187,16.50115,1
120.64194,16.50117,1
120.64212,16.50129,1
120.64223,16.50133,1
120.64276,16.50148,1
120.64292,16.50148,1
120.64297,16.50174,1
120.64297,16.5021,1
120.64303,16.50233,1
120.64387,16.50116,1
120.64328,16.50089,1
120.64318,16.50078,1
120.64298,16.50063,1
120.64291,16.50059,1
120.65169,16.51984,1
120.65174,16.51986,1
120.65275,16.52104,1
120.65325,16.52195,1
120.65267,16.5221,1
120.65226,16.52232,1
120.65218,16.52233,1
120.6521,16.52236,1
120.65211,16.52242,1
120.65107,16.52401,1
120.65106,16.52409,1
120.65095,16.52452,1
120.65086,16.5246,1
120.62522,16.53668,1
120.63741,16.52335,1
120.63293,16.52867,1
120.63187,16.52852,1
120.6199,16.54458,1
120.61998,16.54445,1
120.62069,16.54287,1
120.58445,16.51607,1
120.58431,16.51609,1
120.58416,16.51619,1
120.5838,16.51682,1
120.58319,16.51724,1
120.58314,16.51725,1
120.58314,16.51727,1
120.58272,16.51726,1
120.82136,16.51947,1
